County_Name,State,State_Index,NUM_POP_2014,PER_POP_Change,PER_Female,PER_White_Only,PER_Black,PER_Native_American,PER_Asian,PER_Pacific_Islander,Per_Multiracial,PER_Hispanic,PER_Color,PER_Same_Residence,PER_Foreign_Born,PER_DIFF_Age_Groups,PER_Veterans,PER_EDU_High_School,PER_EDU_College,NUM_Mean_Work_Travel_Time,PER_Homeownership,PER_Apartments,NUM_House_Value,NUM_Person_In_Households,NUM_INC_Per_Capita,NUM_INC_Median_Household,PER_Below_Poverty,PER_Not_Farm_Employment_Change,NUM_Firms_Per_Capita,PER_Firms_Color,PER_Firms_Women,PER_Merchant_Sales_Per_Capita,PER_Retail_Sales_Per_Capita,PER_Food_Sales_Per_Capita,NUM_Sales_Per_Capita,NUM_Building_Permits,NUM_Land_Area,NUM_Pop_Per_Area,PER_Voters,PER_Vote_Diff,Win_Strength,Party_Winner
Coffee County,AL,7,50909,1.9,50.5,71.3,17.7,1.4,1.6,0.4,2.5,6.4,30.0,83.3,7.5,7.799999999999999,11.915378420318607,82.4,22.5,21.3,69.9,13.5,131000,2.65,23380,43768,18.6,0.3,0.07920014142882398,8.0,29.3,2.5848867587263546,12.564045650081518,0.9837160423500756,16.132648451157948,58,678.97,73.6,40.29346480975859,-56.7006288695,-2,-1
Colbert County,AL,7,54543,0.2,51.8,78.8,16.3,0.6,0.5,0.1,1.7,2.6,21.800000000000004,87.2,2.6,3.1999999999999993,8.023027702913298,83.5,17.7,22.7,72.1,12.3,99300,2.42,21572,39077,17.9,6.2,0.08721559136827824,0.0,22.8,6.4424032414792,15.057550923124873,1.1355260986744404,22.635480263278513,143,592.62,91.8,45.14969840309481,-38.26037521319999,-1,-1
Conecuh County,AL,7,12670,-4.2,51.9,51.1,46.2,0.4,0.1,0.0,1.2,1.8,49.7,96.9,2.2,1.0,8.689818468823994,77.3,8.8,27.2,79.1,7.2,69600,2.61,15605,24658,32.7,-1.5,0.07734806629834254,0.0,23.0,6.056511444356748,5.622099447513812,0.6840568271507498,12.36266771902131,3,850.16,15.6,51.64167324388319,-5.2575271283,0,-1
Coosa County,AL,7,10886,-7.4,49.5,64.8,31.8,0.6,0.2,0.2,1.2,2.3,36.300000000000004,87.2,3.3,-0.1999999999999993,8.579827301120705,75.0,9.8,30.2,83.0,3.0,75100,2.42,18493,37277,20.9,3.9,0.0500643027742054,0.0,0.0,2.9071284218261986,1.8860003674444241,0.052820135954436895,4.84594892522506,0,650.93,17.7,47.97905566783024,-30.557151062599996,-1,-1
Covington County,AL,7,37914,0.4,51.6,83.1,13.0,0.6,0.5,0.0,1.6,1.6,17.3,86.7,2.1,2.3000000000000007,9.054702748325157,78.4,14.2,23.3,75.1,6.0,88800,2.48,20391,35869,20.0,0.7,0.07799229835944506,0.0,0.0,8.933164530252677,11.206229888695468,0.7984121960225774,20.93780661497072,8,1030.46,36.6,41.72073640343936,-68.54848906309999,-2,-1
Crenshaw County,AL,7,13977,0.5,51.1,70.6,24.0,0.5,1.8,0.1,1.6,1.7,29.700000000000003,86.3,3.2,4.699999999999999,7.855763039278815,76.7,12.7,30.3,69.9,8.0,70800,2.46,21343,36275,19.1,1.0,0.0734778564785004,25.8,30.2,9.435071903842026,5.398583386992917,0.403520068684267,15.23717535951921,2,608.84,22.8,44.730628890319814,-45.55342290469999,-1,-1
Cullman County,AL,7,81289,1.1,50.5,92.1,1.4,0.6,0.5,0.0,1.2,4.4,8.100000000000001,87.0,4.6,4.899999999999999,7.586512320240131,79.8,14.8,26.4,75.0,8.2,106100,2.53,20760,38847,18.8,3.6,0.09685197259161757,2.2,23.9,0.0,10.66636322257624,1.2583621400189449,11.924725362595185,77,734.84,109.4,45.85860325505296,-77.8046032512,-2,-1
Dale County,AL,7,49484,-1.5,50.5,70.2,19.7,0.8,1.3,0.1,2.8,6.1,30.800000000000004,78.4,6.3,8.200000000000001,13.600355670519765,84.1,17.0,20.9,61.1,13.6,99400,2.52,22685,44889,17.4,-1.6,0.05963543771724194,0.0,0.0,1.4012812222132407,6.7194042518793955,0.7523441920620807,8.873029666154716,17,561.15,89.6,37.62226174116886,-50.4377719289,-2,-1
Dallas County,AL,7,41711,-4.8,53.7,28.5,69.5,0.2,0.5,0.0,0.7,1.0,71.9,86.7,1.3,9.6,6.945410083670974,77.5,14.2,22.0,60.9,19.3,75700,2.63,17245,26519,35.5,-1.0,0.07547169811320754,53.5,28.8,0.0,10.485459471122725,0.8081321473951716,11.293591618517898,17,978.7,44.8,44.904221907890005,37.5974372664,1,1
DeKalb County,AL,7,71065,-0.1,50.7,80.6,2.1,2.1,0.4,0.7,2.2,14.2,21.7,90.9,11.2,9.0,6.150707099134595,70.6,10.7,23.3,76.3,6.7,93400,2.82,18149,37851,19.9,3.9,0.0831351579539858,1.4,25.8,0.0,8.938084851896152,0.9556743826074721,9.893759234503623,31,777.09,91.5,36.70723985084078,-69.37437706050001,-2,-1
